Campaign,Ad group,Keyword,KW ID,Match type,Quality score,Est First Pos. Bid,Est Top of Page Bid
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Hyundai-MO_Elantra-YR_14,+hyundai +elantra +2014,139563662,Broad,5,$4.83,$4.03
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Kia-MO_Soul-YR_12,+2012 +kia +soul,175949674,Broad,5,$10.88,$9.07
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Kia-MO_Soul-YR_15,kia soul 2015,607692757,Exact,6,$9.68,$3.61
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Camry-YR_11,+toyota +camry +2011,725959254,Broad,4,$7.64,$2.35
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Camry-YR_12,+2012 +toyota +camry +for +sale,484440977,Broad,4,$10.09,$8.41
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Camry-YR_13,2013 toyota camry for sale,258078001,Exact,10,$10.29,$8.58
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Camry-YR_15,+2015 +toyota +camry,830667529,Broad,9,$5.47,$4.56
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Prius-YR_14,toyota prius 2014,814500188,Exact,10,$9.72,$8.10
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Honda-MO_Civic-YR_11,+honda +civic +2011,155055720,Broad,8,$7.25,$5.29
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Honda-MO_Civic-YR_12,+honda +civic +2012,834424426,Broad,7,$9.29,$7.74
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Honda-MO_Civic-YR_13,+2013 +honda +civic +for +sale,482224358,Broad,8,$10.88,$8.89
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Honda-MO_Civic-YR_15,+2015 +honda +civic,530999646,Broad,7,$11.89,$9.91
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Kia-MO_Soul-YR_11,2011 kia soul for sale,635234156,Exact,6,$10.17,$8.48
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Kia-MO_Soul-YR_12,2012 kia soul for sale,715543838,Exact,9,$7.60,$4.78
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Kia-MO_Soul-YR_15,2015 kia soul for sale,392152152,Exact,9,$7.39,$6.16
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Camry-YR_11,2011 toyota camry for sale,478344121,Exact,6,$12.00,$3.10
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Camry-YR_12,toyota camry 2012,613695502,Exact,9,$6.02,$5.02
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Camry-YR_12,2012 toyota camry for sale,798338152,Exact,9,$7.12,$3.65
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Camry-YR_14,+2014 +toyota +camry +for +sale,361906971,Broad,5,$11.87,$2.15
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Camry-YR_14,toyota camry 2014,496713409,Exact,7,$9.69,$8.07
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Camry-YR_15,toyota camry 2015,166671758,Exact,4,$4.22,$3.52
SRCH-I-NYC-TOTL,SRCH-I-NYC-MK_Kia-MO_Soul-YR_13,+2013 +kia +soul,623806740,Broad,10,$11.22,$7.44
SRCH-I-NYC-TOTL,SRCH-I-NYC-MK_Kia-MO_Soul-YR_13,+2013 +kia +soul +for +sale,488606427,Broad,10,$11.15,$9.29
SRCH-I-NYC-TOTL,SRCH-I-NYC-MK_Kia-MO_Soul-YR_15,+2015 +kia +soul +for +sale,274161105,Broad,9,$9.33,$2.85
SRCH-I-NYC-TOTL,SRCH-I-NYC-MK_Toyota-MO_Camry-YR_11,2011 toyota camry,619188043,Exact,6,$10.36,$8.63
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Ford-MO_Fusion-YR_13,ford fusion 2013,150336449,Exact,6,$11.28,$2.72
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_GMC-MO_Terrain-YR_12,+gmc +terrain +2012,438489756,Broad,8,$9.24,$3.95
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_GMC-MO_Terrain-YR_13,2013 gmc terrain,707207474,Exact,9,$10.18,$3.57
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_GMC-MO_Terrain-YR_14,+2014 +gmc +terrain +for +sale,291598333,Broad,8,$4.55,$3.79
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_GMC-MO_Terrain-YR_14,+2014 +gmc +terrain,512412064,Broad,9,$9.24,$7.70
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_GMC-MO_Terrain-YR_15,gmc terrain 2015,723488561,Exact,8,$9.30,$7.39
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Honda-MO_Accord-YR_11,2011 honda accord,873542194,Exact,7,$5.08,$3.61
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Honda-MO_Accord-YR_11,+honda +accord +2011,212899410,Broad,7,$11.19,$9.33
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Honda-MO_Accord-YR_14,+honda +accord +2014,589496081,Broad,6,$11.72,$9.77
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Honda-MO_Accord-YR_14,+2014 +honda +accord,130254722,Broad,9,$7.99,$4.09
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Honda-MO_Civic-YR_11,+honda +civic +2011,330925092,Broad,5,$11.89,$9.90
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Honda-MO_Civic-YR_12,2012 honda civic for sale,438756107,Exact,5,$8.26,$5.98
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Honda-MO_Civic-YR_12,honda civic 2012,150956307,Exact,9,$11.55,$2.30
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Honda-MO_Civic-YR_13,honda civic 2013,227199773,Exact,5,$10.80,$4.39
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Hyundai-MO_Elantra-YR_11,+2011 +hyundai +elantra,618271606,Broad,8,$10.27,$5.71
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Hyundai-MO_Elantra-YR_14,2014 hyundai elantra,511510126,Exact,4,$9.31,$4.66
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Hyundai-MO_Elantra-YR_15,hyundai elantra 2015,732254614,Exact,4,$8.62,$6.77
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Hyundai-MO_Elantra-YR_15,2015 hyundai elantra,573143314,Exact,8,$10.19,$8.50
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Kia-MO_Optima-YR_12,2012 kia optima for sale,685539683,Exact,10,$8.21,$5.29
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Kia-MO_Optima-YR_14,2014 kia optima,674618624,Exact,10,$10.01,$8.34
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Kia-MO_Optima-YR_15,2015 kia optima,764240437,Exact,9,$5.52,$2.79
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Kia-MO_Soul-YR_11,2011 kia soul for sale,224961063,Exact,4,$7.85,$5.23
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Kia-MO_Soul-YR_14,+kia +soul +2014,527959196,Broad,8,$6.53,$2.19
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Kia-MO_Soul-YR_15,+2015 +kia +soul +for +sale,454561515,Broad,6,$8.96,$4.31
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Corolla-YR_13,+2013 +toyota +corolla +for +sale,411373036,Broad,5,$9.90,$8.25
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Corolla-YR_14,toyota corolla 2014,379056213,Exact,7,$5.68,$2.82
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Corolla-YR_15,2015 toyota corolla for sale,187873847,Exact,7,$6.57,$4.93
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Prius-YR_11,+2011 +toyota +prius +for +sale,211278662,Broad,6,$10.10,$2.03
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Prius-YR_11,+2011 +toyota +prius,465369564,Broad,9,$3.96,$3.30
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Prius-YR_13,toyota prius 2013,104777447,Exact,6,$11.95,$9.96
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Prius-YR_15,+2015 +toyota +prius,336398094,Broad,7,$11.38,$5.06
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Ford-MO_Fusion-YR_12,2012 ford fusion,229852632,Exact,10,$8.34,$2.23
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Honda-MO_Civic-YR_13,2013 honda civic,215316710,Exact,10,$10.06,$8.38
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Honda-MO_Civic-YR_15,2015 honda civic,338379336,Exact,6,$12.00,$6.89
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Hyundai-MO_Elantra-YR_12,hyundai elantra 2012,452060928,Exact,7,$10.88,$9.07
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Kia-MO_Soul-YR_11,+2011 +kia +soul,311126636,Broad,6,$6.93,$5.77
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Kia-MO_Soul-YR_11,kia soul 2011,155657300,Exact,7,$8.61,$6.07
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Kia-MO_Soul-YR_13,kia soul 2013,277419587,Exact,8,$7.50,$6.25
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Kia-MO_Soul-YR_14,2014 kia soul,161578444,Exact,7,$11.20,$9.33
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Kia-MO_Soul-YR_14,2014 kia soul for sale,356063443,Exact,8,$6.15,$5.13
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Corolla-YR_12,+toyota +corolla +2012,626721899,Broad,7,$11.47,$6.20
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Corolla-YR_13,2013 toyota corolla for sale,570266655,Exact,5,$11.39,$3.78
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Corolla-YR_13,+2013 +toyota +corolla +for +sale,458653978,Broad,5,$7.03,$5.86
SRCH-I-NYC-TOTL,SRCH-I-NYC-MK_Honda-MO_Civic-YR_11,2011 honda civic for sale,375767985,Exact,9,$11.48,$4.18
SRCH-I-NYC-TOTL,SRCH-I-NYC-MK_Honda-MO_Civic-YR_13,2013 honda civic for sale,165263458,Exact,10,$3.73,$2.81
SRCH-I-NYC-TOTL,SRCH-I-NYC-MK_Kia-MO_Soul-YR_12,+2012 +kia +soul,179347600,Broad,6,$7.92,$2.95
SRCH-I-NYC-TOTL,SRCH-I-NYC-MK_Kia-MO_Soul-YR_15,+2015 +kia +soul,771363373,Broad,7,$11.45,$9.34
SRCH-I-NYC-TOTL,SRCH-I-NYC-MK_Toyota-MO_Corolla-YR_12,2012 toyota corolla for sale,756517473,Exact,9,$10.46,$3.66
SRCH-I-NYC-TOTL,SRCH-I-NYC-MK_Toyota-MO_Corolla-YR_12,+2012 +toyota +corolla,381982570,Broad,9,$9.44,$7.87
SRCH-I-NYC-TOTL,SRCH-I-NYC-MK_Toyota-MO_Corolla-YR_14,+2014 +toyota +corolla +for +sale,890982826,Broad,9,$8.54,$4.53
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Chevrolet-MO_Cruze-YR_11,2011 chevrolet cruze for sale,140495032,Exact,9,$7.13,$2.52
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Chevrolet-MO_Cruze-YR_13,+chevrolet +cruze +2013,372569534,Broad,8,$11.97,$9.97
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Chevrolet-MO_Cruze-YR_15,+chevrolet +cruze +2015,580695755,Broad,9,$10.88,$4.43
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Chevrolet-MO_Volt-YR_14,+2014 +chevrolet +volt,243125624,Broad,10,$11.86,$9.88
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Ford-MO_Fusion-YR_11,+2011 +ford +fusion,288387429,Broad,4,$4.68,$3.46
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Ford-MO_Fusion-YR_13,2013 ford fusion for sale,475823127,Exact,7,$10.50,$3.69
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_GMC-MO_Terrain-YR_11,+2011 +gmc +terrain +for +sale,578871374,Broad,7,$5.29,$4.41
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_GMC-MO_Terrain-YR_14,2014 gmc terrain,817979115,Exact,5,$11.23,$3.13
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_GMC-MO_Terrain-YR_14,gmc terrain 2014,772779824,Exact,10,$8.88,$7.40
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_GMC-MO_Terrain-YR_15,2015 gmc terrain for sale,362982372,Exact,5,$7.22,$5.70
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_GMC-MO_Terrain-YR_15,+gmc +terrain +2015,176818544,Broad,6,$5.57,$2.28
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Honda-MO_Accord-YR_12,2012 honda accord for sale,458844760,Exact,5,$11.08,$9.23
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Honda-MO_Accord-YR_13,2013 honda accord for sale,156122058,Exact,9,$11.47,$5.36
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Honda-MO_Accord-YR_14,2014 honda accord,288229530,Exact,6,$6.48,$5.40
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Honda-MO_Accord-YR_14,+2014 +honda +accord +for +sale,307454641,Broad,10,$11.88,$9.90
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Honda-MO_Accord-YR_15,+honda +accord +2015,733264287,Broad,9,$5.49,$2.80
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Honda-MO_Civic-YR_11,+2011 +honda +civic,351565809,Broad,8,$7.17,$5.98
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Honda-MO_Civic-YR_12,+honda +civic +2012,811670976,Broad,4,$11.12,$9.27
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Honda-MO_Civic-YR_13,+honda +civic +2013,550124274,Broad,7,$9.67,$3.43
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Honda-MO_Civic-YR_15,+honda +civic +2015,488250221,Broad,8,$11.30,$9.42
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Hyundai-MO_Sonata-YR_15,+hyundai +sonata +2015,410118575,Broad,7,$11.20,$8.12
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Kia-MO_Optima-YR_11,2011 kia optima for sale,733277810,Exact,7,$9.51,$6.02
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Kia-MO_Optima-YR_12,2012 kia optima,530895204,Exact,9,$6.68,$5.57
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Kia-MO_Optima-YR_14,kia optima 2014,235773953,Exact,7,$10.30,$8.58
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Kia-MO_Optima-YR_15,2015 kia optima for sale,376544533,Exact,8,$3.27,$2.36
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Kia-MO_Soul-YR_13,+2013 +kia +soul,896438626,Broad,5,$6.99,$5.83
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Kia-MO_Soul-YR_15,2015 kia soul for sale,585873763,Exact,4,$10.29,$5.15
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Camry-YR_13,toyota camry 2013,345874251,Exact,9,$11.61,$9.68
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Corolla-YR_12,2012 toyota corolla for sale,249677406,Exact,8,$8.85,$4.36
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Corolla-YR_14,+2014 +toyota +corolla,804904046,Broad,7,$11.90,$9.91
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Prius-YR_11,toyota prius 2011,165894812,Exact,7,$7.54,$6.28
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Prius-YR_12,2012 toyota prius for sale,103946435,Exact,8,$5.16,$3.82
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Prius-YR_15,+toyota +prius +2015,193723089,Broad,5,$7.51,$6.26
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Ford-MO_Fusion-YR_11,+ford +fusion +2011,386274175,Broad,7,$9.55,$7.96
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Ford-MO_Fusion-YR_14,2014 ford fusion for sale,549764221,Exact,8,$6.32,$5.26
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_GMC-MO_Terrain-YR_15,+gmc +terrain +2015,384944164,Broad,9,$11.60,$9.67
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Honda-MO_Accord-YR_12,+honda +accord +2012,455583045,Broad,10,$8.95,$7.46
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Honda-MO_Civic-YR_11,+2011 +honda +civic +for +sale,494347816,Broad,7,$11.26,$9.39
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Honda-MO_Civic-YR_12,+2012 +honda +civic,411612989,Broad,4,$9.61,$8.01
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Honda-MO_Civic-YR_12,+2012 +honda +civic +for +sale,537326908,Broad,8,$10.50,$7.46
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Honda-MO_Civic-YR_13,+honda +civic +2013,252790913,Broad,4,$6.83,$5.70
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Hyundai-MO_Elantra-YR_12,2012 hyundai elantra for sale,894170656,Exact,6,$8.96,$7.46
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Hyundai-MO_Elantra-YR_13,hyundai elantra 2013,602445412,Exact,5,$11.66,$9.71
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Kia-MO_Soul-YR_14,kia soul 2014,827000525,Exact,4,$7.59,$6.22
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Camry-YR_11,2011 toyota camry,587867712,Exact,5,$9.02,$7.52
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Camry-YR_11,+toyota +camry +2011,496665345,Broad,5,$6.54,$5.45
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Camry-YR_12,+2012 +toyota +camry,361591776,Broad,5,$9.31,$3.20
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Corolla-YR_13,2013 toyota corolla,129434603,Exact,7,$10.35,$8.63
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Corolla-YR_14,2014 toyota corolla,724838457,Exact,8,$6.51,$5.43
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Corolla-YR_14,+2014 +toyota +corolla,509398313,Broad,8,$10.23,$5.04
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Corolla-YR_15,+2015 +toyota +corolla +for +sale,112753057,Broad,7,$8.14,$5.91
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Prius-YR_12,toyota prius 2012,751752187,Exact,8,$3.72,$3.10
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Prius-YR_12,2012 toyota prius,505348646,Exact,10,$8.39,$2.04
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Prius-YR_14,2014 toyota prius for sale,270756549,Exact,8,$11.80,$4.13
SRCH-I-NYC-TOTL,SRCH-I-NYC-MK_Honda-MO_Civic-YR_12,2012 honda civic for sale,232753840,Exact,8,$7.93,$6.61
SRCH-I-NYC-TOTL,SRCH-I-NYC-MK_Honda-MO_Civic-YR_15,+2015 +honda +civic +for +sale,313444651,Broad,6,$11.77,$9.81
SRCH-I-NYC-TOTL,SRCH-I-NYC-MK_Hyundai-MO_Elantra-YR_12,+2012 +hyundai +elantra +for +sale,393860298,Broad,9,$9.18,$6.75
SRCH-I-NYC-TOTL,SRCH-I-NYC-MK_Hyundai-MO_Elantra-YR_13,+hyundai +elantra +2013,766326524,Broad,9,$10.62,$8.85
SRCH-I-NYC-TOTL,SRCH-I-NYC-MK_Kia-MO_Soul-YR_11,+2011 +kia +soul,830844151,Broad,4,$6.84,$5.70
SRCH-I-NYC-TOTL,SRCH-I-NYC-MK_Kia-MO_Soul-YR_14,2014 kia soul,621999356,Exact,5,$5.02,$3.91
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Buick-MO_Verano-YR_14,+2014 +buick +verano,499060430,Broad,7,$7.98,$6.65
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Chevrolet-MO_Cruze-YR_12,chevrolet cruze 2012,873637214,Exact,4,$10.16,$7.74
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Chevrolet-MO_Cruze-YR_12,+2012 +chevrolet +cruze,612445712,Broad,4,$10.81,$4.36
