KW ID,Impressions,Clicks,Cost,Conversions
380878372,"12,450",750,"$5,500",4
769573836,"13,260",120,$356,11
787941422,"33,900",860,"$4,747",3
455647534,"17,090","1,050","$1,170",2
191065931,"58,390",800,"$2,255",2
777227734,"64,650","1,450","$4,404",2
766365523,"19,120",620,"$2,251",6
895083941,"18,910","1,130","$4,962",5
238348071,"6,840",800,"$3,751",1
178197678,"34,700",190,$723,10
635936181,"8,410","1,050","$3,260",3
521898350,"17,300","1,170","$6,200",2
889916212,"23,910","1,550","$3,232",2
446913922,"26,270",750,"$5,119",2
313102589,"27,600",750,"$2,331",5
820190569,"15,240",590,"$3,253",5
748063648,"39,230",290,"$1,967",2
484600218,"48,200",500,"$1,127",2
107208516,"8,020",710,"$3,447",2
888774073,"26,590",400,$897,5
502983065,"26,580",960,"$2,114",5
820632137,"18,880",990,"$6,092",11
305948288,"40,710",720,"$4,982",2
170375057,"25,730",230,"$1,434",4
866893695,"21,020",270,$335,4
232724574,"16,290",730,"$1,928",13
526801593,"17,650",120,$718,3
486828829,"10,910",830,"$3,410",4
349989156,"10,230",700,"$2,808",10
518860669,"31,680",130,$574,10
775604586,"33,880",890,"$2,756",2
245170474,"22,270",60,$165,15
259412227,"13,960",610,"$4,238",1
153049753,"28,560",410,"$1,082",4
696660618,"26,850",730,$819,3
695723692,"39,970",260,$789,2
596001699,"63,530","1,240","$5,167",3
349397048,"29,260",100,$637,11
355935173,"18,840",340,"$1,267",3
419153204,"38,970",410,$795,2
172854328,"23,070",410,"$1,800",2
737771557,"34,810","1,440","$8,168",2
851795622,"18,490",700,"$3,821",2
882191195,"7,600",130,$467,5
338517318,"31,240",540,"$1,486",11
659382298,"26,100","1,390","$1,664",11
237331983,"28,880",220,$771,2
855661810,"15,790",550,"$1,196",2
174778302,"17,340","1,850","$10,079",3
676166800,"58,180","1,280","$5,638",3
509735468,"33,940",760,"$2,723",5
735587729,"22,790",360,"$2,756",13
598723491,"10,300",520,"$3,178",2
704261445,"5,920",850,"$4,535",4
237736700,"23,810","1,200","$6,190",11
732932957,"22,790","1,750","$4,825",2
858704447,"7,540",310,"$1,492",1
112907358,"6,890",580,"$2,266",1
289544649,"7,720",100,$345,3
120557574,"19,510",620,"$2,416",7
561780612,"31,370","1,500","$5,600",1
214766871,"36,050",610,"$1,590",1
256806888,"17,730",660,"$1,109",2
132532237,"4,760",220,$403,2
502367225,"11,330",180,$540,1
161818366,"16,180",580,$961,5
115070265,"11,330",490,$595,2
322816524,"10,440",250,$442,2
767578239,"13,060",70,$109,1
227475988,"8,580",560,"$2,677",1
295726905,"20,650",670,"$2,811",3
209456163,"7,480",140,$282,8
248177344,"29,280",70,$378,8
436457820,"32,000",250,$988,8
816970246,"26,330",950,"$4,128",8
446432875,"21,430",880,"$2,896",2
600865158,"29,370","1,240","$8,155",1
506033308,"11,930","1,760","$1,866",1
660985193,"8,230",710,"$2,014",6
732354705,"6,830",700,"$1,113",2
398266564,"15,220",100,$358,2
867372000,"7,010",890,"$4,249",2
104213032,"24,660",760,"$2,130",1
129812282,"6,710",590,"$2,712",4
418428505,"29,320",180,$384,4
350708506,"29,740","1,570","$3,501",9
569364845,"22,210",130,$935,3
836541508,"44,200",980,"$4,456",3
761533537,"40,960",80,$619,1
452885214,"21,810","1,100","$5,167",1
449623548,"39,390",310,$829,1
567071691,"21,550",130,$663,1
433192273,"26,580",400,"$1,537",3
719694566,"11,550",340,$868,3
884421534,"11,130",760,"$2,104",3
522155623,"25,360",500,"$3,633",8
349617790,"35,590","1,230","$4,122",8
518049975,"6,820",290,$805,2
839161129,"17,440",410,$958,1
821847168,"35,500",860,"$3,671",10
462180435,"33,050",990,"$3,147",10
217292010,"34,890","1,120","$4,169",3
376112493,"46,770","1,310","$5,169",3
517271333,"17,930","1,020","$8,593",2
666348333,"19,700",370,"$1,467",1
175412739,"6,400",220,$462,1
141768551,"21,470",320,$670,2
629020265,"7,500",450,"$1,049",4
117412816,"27,430",870,"$3,279",4
336705734,"24,650",830,"$6,340",4
814228887,"32,040",140,"$1,020",9
800478392,"13,240",650,"$4,992",9
616783461,"37,390",90,$580,9
235541562,"39,280","1,040","$4,399",9
722967229,"14,920",150,"$1,272",1
530722177,"17,540",70,$343,1
220596368,"30,350",950,"$3,107",3
379486887,"6,550",890,"$2,429",1
696359315,"9,990",600,"$3,521",1
628494937,"4,880",200,$850,1
691819452,"6,070",400,"$1,011",3
515933703,"8,510",370,$490,8
345911262,"43,610","1,010","$3,442",1
680352514,"3,910",490,"$1,982",1
380138850,"11,120",220,$678,2
835628111,"21,380",300,$973,6
551001107,"23,840",680,"$2,185",6
178447214,"14,270",760,"$1,755",2
899839643,"12,630",490,"$3,017",2
162947406,"15,140",180,$958,1
451463066,"31,060",310,"$1,115",1
743681085,"39,730",360,"$1,459",5
506343309,"33,170",140,"$1,067",12
338689886,"12,330",860,"$3,577",12
633527938,"33,220",160,$290,12
826980470,"22,360",260,$544,3
655480379,"61,170",390,"$2,104",2
648181124,"11,960",90,$568,1
285469501,"24,800",980,"$2,014",8
368712254,"63,110",460,$957,2
315937218,"27,430",980,"$3,964",1
687150361,"19,590",930,"$1,707",1
249349920,"24,150","1,520","$6,508",10
663858968,"44,860",500,"$2,146",3
722999683,"14,150","1,070","$3,564",2
215647896,"34,900","1,590","$3,050",2
824378527,"29,870",470,"$2,679",1
404611296,"30,370","1,410","$2,622",4
265580788,"8,130",950,"$1,932",3
550553741,"39,180","1,670","$7,662",3
710992672,"25,570","1,960","$7,576",2
455199885,"30,650","1,090","$1,902",1
169710061,"21,890",430,"$2,444",4
812920676,"45,890","2,180","$5,895",1
592510549,"31,810",770,"$3,984",2
469897600,"9,020",190,$852,2
168572722,"31,980",950,"$2,122",2
593338146,"32,560",40,$43,5
538081270,"12,180",210,$791,5
776716997,"36,950",820,"$2,327",12
248254096,"14,070",820,"$1,023",12
628484960,"40,520","1,670","$12,655",2
530609826,"36,590",370,$981,2
871367971,"30,820",300,"$1,045",2
703433094,"26,360",760,"$2,779",2
778451141,"38,860","1,300","$5,784",2
286116695,"33,000",590,"$2,155",5
563117953,"40,670",780,"$5,401",12
644669082,"52,460","1,620","$4,183",12
790204461,"35,290","1,430","$2,734",4
200965858,"52,410","1,140","$3,426",2
766857289,"18,570","2,290","$10,175",2
506219197,"6,480",720,"$2,274",1
493841000,"50,880","1,390","$1,706",3
671634766,"8,860",90,$546,3
267670494,"17,800",910,"$5,002",2
361008510,"24,400",320,$611,2
640884251,"18,900","1,380","$2,123",1
134832047,"6,070",280,"$1,157",1
860872781,"26,730",760,"$2,614",3
236208671,"5,300",80,$492,3
841559186,"34,360","1,100","$2,876",1
155013406,"19,750",930,"$1,166",7
647504809,"11,430",780,"$2,593",7
121282497,"22,950","1,220","$5,665",9
819643392,"39,440",560,$687,9
155060005,"16,570",90,$545,3
602887118,"34,730",780,"$5,490",3
149544391,"32,870",160,$690,1
678673065,"23,440",360,"$2,216",1
806316204,"25,310",350,$762,1
538159350,"33,010",390,"$2,186",2
867717301,"25,960",120,$674,2
838519178,"19,180",490,"$2,572",1
441471168,"10,210","1,350","$7,630",1
890218221,"42,620","1,680","$2,472",1
532283578,"19,390",780,"$2,170",1
293153421,"27,820",510,"$1,020",10
463488082,"48,040","1,390","$4,455",3
867194410,"43,250",740,"$2,899",3
253074750,"45,430",780,"$2,162",3
287453576,"50,800","1,520","$4,120",3
540308519,"48,390","1,760","$7,575",2
221536039,"24,090",510,"$1,869",2
245353260,"17,700",170,$355,6
402153294,"38,710",780,$904,3
604584669,"48,580",200,$742,3
807311612,"30,160",420,"$2,165",1
597640719,"4,500",440,"$2,130",1
183313023,"24,960",200,"$1,189",3
671034161,"9,300",510,"$1,863",8
394327629,"13,310","1,180","$1,371",1
497130966,"5,300",620,"$2,326",3
840769333,"26,800",460,"$2,893",8
781435359,"8,500",460,"$1,584",8
830237935,"16,140",510,$669,2
796179364,"26,170",430,"$1,397",2
681233696,"28,380",650,$747,2
835227616,"7,640",210,"$1,512",2
399477572,"12,730","1,120","$5,303",2
515613849,"17,650",600,"$3,338",5
769314532,"9,360",970,"$2,138",5
187197158,"31,410",220,"$1,468",12
185035434,"39,580","1,310","$2,671",12
171309353,"38,370",230,"$1,315",3
729612540,"55,900","2,010","$8,249",3
876005041,"44,430","2,120","$6,247",2
705625113,"21,200",760,"$6,007",3
218319470,"10,050",80,$391,8
486619689,"41,000",160,$701,1
742867409,"7,330",940,"$3,588",2
206597314,"35,250",330,"$1,491",5
158154804,"50,300",970,"$2,129",12
763392432,"47,500","1,210","$3,408",12
147075758,"59,330","1,060","$6,353",4
812753379,"33,450","1,630","$4,450",4
512484521,"29,200","1,510","$6,466",2
477743769,"31,230","1,920","$11,565",2
374913964,"32,240","2,180","$3,392",2
845126355,"54,520",820,"$2,403",2
378222015,"18,450",630,$859,1
398524649,"44,970","1,620","$4,157",10
892111063,"21,670","1,880","$2,224",2
511393443,"21,780",180,$581,3
730081983,"29,360",290,$549,3
213775631,"6,970",740,$882,8
315189240,"20,870",670,"$1,935",8
302342341,"24,320",960,"$5,355",2
131347179,"34,870",160,$471,9
718424333,"26,660",760,"$3,633",3
263497829,"30,830",790,"$3,047",9
475186393,"6,920",820,"$5,272",3
463448547,"18,290",620,"$4,289",2
129402944,"23,970","1,450","$2,413",1
719516608,"42,330","1,750","$2,685",3
670757858,"23,330","1,080","$2,800",3
545338811,"43,150",410,"$1,497",3
751148581,"33,520",670,"$5,263",4
587483585,"21,880",50,$252,4
720766481,"39,100",70,$116,3
224917688,"24,020",460,"$1,361",1
537573497,"35,670","1,300","$1,500",8
516501358,"29,860","1,490","$1,813",2
759993600,"8,900",110,$341,1
805147136,"10,510",730,"$2,883",8
156394353,"12,170",870,"$3,628",2
205703138,"8,200",660,"$2,507",2
373270891,"36,160",660,"$1,434",2
538729214,"25,420",560,"$2,258",5
233123308,"43,580","1,160","$2,801",5
660345007,"31,710","1,470","$6,203",12
289342381,"38,680",460,"$3,090",12
865980559,"19,540",480,"$1,023",12
325341970,"17,680","1,490","$11,038",3
273240149,"14,760","1,280","$8,652",2
373071713,"12,630",70,$208,2
868823105,"54,190","2,680","$7,746",2
874496141,"21,090",260,$512,1
622588342,"12,790",840,"$2,454",3
154601528,"31,270",390,"$2,301",2
506273641,"26,380","1,010","$4,535",2
203434568,"39,400",480,"$3,722",5
751089512,"46,930",870,"$4,700",5
637429940,"19,450",550,"$1,923",12
356285676,"31,770",150,$558,12
154126674,"57,370",50,$118,4
594088738,"48,130","1,760","$11,850",4
491512832,"17,210",440,"$2,160",2
503428554,"43,130","1,000","$5,808",2
218220794,"9,000",630,"$2,373",1
753333692,"10,540",630,"$1,062",1
524016325,"21,640",800,"$5,570",2
805822851,"39,600",860,"$5,069",2
517825161,"32,380","1,020","$2,988",5
722518923,"28,420","1,370","$3,792",5
141974735,"53,400",660,"$1,533",3
715887042,"16,370","1,090","$6,844",2
536272600,"20,200",260,$556,2
518481707,"36,540",680,"$2,773",2
520162074,"18,410",790,"$3,726",2
765980581,"36,070","1,230","$5,612",5
131173680,"46,990","1,130","$5,295",5
859491959,"47,390","1,720","$2,780",5
253885295,"11,300","2,150","$7,735",12
271513077,"28,300",840,"$4,956",4
294057607,"19,680","1,850","$10,138",4
537576855,"58,110",90,$286,4
592083468,"29,480",860,"$2,885",2
204465677,"13,130",230,$554,4
638231676,"13,130",300,"$1,116",4
648268977,"27,650",500,"$1,088",4
706285211,"14,680",410,"$1,156",1
458304831,"14,560",650,$756,1
685300664,"24,510",830,"$1,906",1
839477876,"10,130",130,$757,0
548697531,"12,850",130,$792,0
309556123,"6,010",500,"$1,123",1
255695857,"22,000",190,$470,3
533769564,"5,560",640,"$4,031",3
415071298,"4,470",410,"$1,422",3
457371550,"16,710",280,$737,1
652731498,"11,970",180,$294,1
182956921,"9,920",370,"$2,239",1
762341654,"18,940",320,"$1,460",1
758711550,"14,130",260,$929,0
854306061,"12,720",380,"$2,628",0
750439245,"19,020",450,"$2,322",1
364647869,"9,460",110,$663,1
619594778,"4,500",740,"$2,412",1
777437563,"5,450",810,"$2,138",1
651211398,"10,050",460,"$2,127",4
655501913,"21,870",70,$247,1
103183756,"15,580",230,$345,1
339601825,"25,970",170,$612,1
854887324,"11,330",760,"$1,187",1
159740038,"7,430",560,$637,1
313547523,"4,300",280,"$1,089",1
487709446,"24,050",110,$584,2
391882939,"5,700",40,$155,0
307359321,"9,270",550,"$2,197",1
767133433,"7,980",520,"$1,156",1
292302700,"6,930",350,$672,1
184500560,"21,430",520,"$4,060",4
132103544,"19,810",650,"$2,622",4
117312202,"23,290",230,$514,4
103940145,"18,610",570,"$3,294",1
814863898,"25,240",450,"$1,618",1
868171703,"26,400",570,"$2,759",1
276368745,"23,280",140,$700,1
752858703,"7,230",530,"$3,025",1
542473896,"21,670",170,$780,1
487985773,"11,430",660,"$3,317",1
887585614,"15,820",410,"$2,880",2
790056747,"9,840",70,$100,4
835219552,"32,370",500,"$1,623",1
324893928,"32,070",920,"$2,136",1
462023369,"13,380",360,"$1,508",1
306094672,"22,610",960,"$3,815",1
334100801,"11,520",800,"$3,396",0
236378659,"10,160",570,"$1,486",2
606125985,"23,200",240,"$1,169",2
846243758,"42,120","1,310","$1,853",2
175217681,"18,230",250,$815,1
575941122,"14,420",320,$927,2
677649094,"30,340",370,$967,1
408677961,"37,760",690,"$2,595",7
216097943,"36,970","1,520","$9,971",1
866604402,"41,320",130,$269,1
788010696,"9,030",400,"$2,276",1
799538611,"20,230",540,"$3,076",1
328872978,"15,140",240,$510,2
449732079,"19,710",300,"$2,361",4
497174914,"19,170",290,"$2,060",1
266426588,"20,850",730,"$2,247",1
555634791,"24,340",630,"$3,535",1
273729675,"10,750",900,"$5,163",6
654117386,"17,370",120,$648,6
655660268,"36,370",590,"$3,750",2
767678098,"33,420",690,"$4,909",2
831177490,"27,870",50,$60,1
350824488,"17,980",80,$594,2
292022103,"31,020",100,$225,5
444803839,"17,550",50,$174,2
837225498,"18,620","1,070","$5,047",1
897799582,"29,810",510,$793,1
652038973,"14,670",460,"$3,007",0
470257755,"11,540",80,$486,0
763280980,"16,580",70,$305,0
423062140,"12,900",440,"$1,634",0
116020014,"3,720",440,"$1,428",1
603358744,"12,520",360,"$2,300",1
376913687,"11,010",150,$323,1
504784049,"21,700",70,$401,3
746337098,"16,930",660,$789,3
298609783,"23,070",510,"$3,674",1
512880900,"9,770",740,"$1,733",1
193257829,"14,540",680,"$2,557",0
439848419,"10,400",260,"$1,508",1
694796437,"12,670",240,"$1,495",2
503985964,"10,270",740,"$6,142",5
476530573,"20,820",530,"$2,248",5
889061751,"18,280",410,"$1,468",1
429611845,"17,960",80,$420,4
310629575,"10,010",900,"$1,893",1
696790429,"31,950",930,"$5,553",1
798151543,"33,850",580,"$3,211",8
709807636,"45,650","1,470","$3,464",2
523837838,"16,160",530,"$2,512",1
765282479,"22,630",660,"$4,046",2
886972789,"21,570",920,$966,2
406672954,"6,430",60,$125,0
189248330,"13,130",410,"$1,776",0
308645927,"19,170",130,"$1,015",1
619194469,"14,580",580,$781,3
594263343,"19,880",700,"$1,423",3
270966246,"11,570",450,$913,1
437107895,"18,300",190,$729,1
127828301,"20,500",70,$189,1
598891586,"13,760",400,"$1,798",0
791477025,"24,220",260,$992,1
269104658,"11,560",280,"$1,735",3
882788841,"42,390",160,$529,3
657796984,"8,840",50,$232,8
682385687,"14,080",370,"$1,409",2
615641999,"33,460","1,130","$6,450",1
733677190,"20,630",560,"$2,152",1
493639892,"8,620",620,"$3,723",7
177535625,"31,710","1,180","$5,450",1
816482660,"42,030","1,820","$3,750",1
404149956,"19,540",50,$95,2
197476274,"19,550","1,270","$2,413",2
447938637,"23,300",350,$955,1
678602040,"11,350",620,"$1,120",1
511079409,"28,290",730,"$2,798",1
579328381,"21,180",500,"$1,886",1
283529855,"8,690","1,270","$3,816",1
851612359,"11,430",840,"$3,424",1
708869181,"12,260",750,"$2,741",1
157021801,"17,110",540,$685,2
247534689,"38,580",580,"$2,660",1
253382215,"13,630",150,$409,2
270740713,"18,730",330,$719,4
551365646,"13,190",910,"$3,154",1
883342362,"13,850","1,020","$3,442",2
306050560,"6,590",400,$515,2
436058991,"18,120",50,$170,2
613351516,"7,240",70,$365,1
250667855,"7,630",320,"$1,370",1
807432720,"7,110",280,"$1,252",1
573519383,"20,120",590,"$2,414",1
760613111,"22,160","1,000","$2,422",1
447334481,"12,060",520,"$1,941",1
261929083,"12,770",180,$632,3
826439568,"11,800","1,000","$3,285",3
736430448,"7,390","1,460","$2,285",3
605987812,"27,270",180,"$1,121",7
557484861,"45,990",180,$295,7
376151611,"48,610",900,"$3,671",1
574554113,"51,810",340,"$1,479",1
305738478,"31,000",680,"$2,312",1
648864984,"20,970","1,150","$2,842",1
771426939,"11,980","1,070","$2,545",1
607124071,"18,720",860,"$2,024",3
589444486,"31,970",360,$934,6
665072454,"22,910",200,$979,2
280944222,"18,560","1,320","$8,320",1
800593088,"30,750",160,$613,1
768280162,"21,760",470,"$1,559",1
179757131,"16,170",270,$678,2
440705095,"11,100",740,"$2,563",1
305422642,"25,220",700,"$3,028",2
841761321,"44,840",720,"$4,271",3
681879211,"27,100",850,"$1,793",3
234589248,"24,680",740,"$5,121",8
627603612,"31,350",100,$548,1
775704481,"16,490",180,"$1,446",1
222696348,"51,750",50,$347,2
537869975,"22,840","1,130","$5,927",2
340778206,"15,390",950,"$6,756",1
328202575,"25,660","1,180","$1,512",1
773514770,"35,440",410,"$1,151",3
133314416,"31,830",320,"$1,008",3
236022748,"26,120",920,"$6,294",2
774531302,"23,160","1,190","$4,744",2
422946111,"33,250","1,590","$9,087",1
674909863,"11,590",490,"$1,675",1
711578153,"16,500",230,$373,6
283263503,"18,390",550,"$1,636",1
643293565,"11,010",260,"$1,707",1
573483620,"15,180",290,"$2,583",2
680117293,"8,340",80,$596,2
400335112,"15,310",60,$358,2
720006808,"29,070",550,"$1,768",4
355158408,"24,890",590,"$3,886",4
545921634,"17,660",840,"$2,428",1
785639544,"10,570",600,"$4,770",1
623824397,"23,370",930,"$4,284",1
620131186,"16,580",870,"$3,177",1
555500320,"30,840","1,340","$4,645",1
682250152,"12,630",610,"$1,996",0
271938395,"14,500",310,"$2,063",1
218657643,"14,210",270,$715,3
633652058,"13,850",860,"$2,541",3
677365211,"23,440",640,"$3,773",1
675446757,"28,970",290,$394,1
228455049,"15,750",90,$187,0
252045776,"13,120",410,"$2,476",0
292529573,"3,510",340,"$1,580",0
841798180,"11,610",60,$249,1
208151885,"13,870",570,"$2,966",1
280859103,"24,230","1,080","$3,027",1
481535358,"10,080",120,$957,1
707042649,"16,840",630,"$1,377",2
710701118,"16,360",280,"$1,034",5
181707068,"37,440",270,$817,1
694202589,"6,140",50,$155,0
680259429,"18,200",610,"$2,556",1
286701981,"10,040",50,$207,1
758248072,"17,890",140,$866,1
270323885,"11,430",310,$479,1
360126467,"19,320",180,"$1,323",4
767502690,"24,780",200,"$1,167",1
119709464,"22,210",480,"$1,420",1
745719449,"30,000",430,"$2,419",1
290490641,"21,750",50,$299,1
273453294,"5,460",250,"$1,152",1
329566577,"8,830",50,$214,1
519327886,"8,390",730,"$3,710",1
534618545,"17,090",40,$300,2
381318179,"5,390",460,"$2,481",2
636737735,"15,200",60,$106,2
384985107,"23,320",380,"$1,377",1
